"year" "link"
2002 "http://www.imdb.com/title/tt0145487"
2002 "http://www.imdb.com/title/tt0317248"
2002 "http://www.imdb.com/title/tt0267913"
2002 "http://www.imdb.com/title/tt0167261"
2002 "http://www.imdb.com/title/tt0264464"
2002 "http://www.imdb.com/title/tt0295297"
2002 "http://www.imdb.com/title/tt0245844"
2002 "http://www.imdb.com/title/tt0281358"
2002 "http://www.imdb.com/title/tt0290673"
2002 "http://www.imdb.com/title/tt0293662"
2002 "http://www.imdb.com/title/tt0253474"
2002 "http://www.imdb.com/title/tt0246460"
2002 "http://www.imdb.com/title/tt0289043"
2002 "http://www.imdb.com/title/tt0121765"
2002 "http://www.imdb.com/title/tt0217505"
2002 "http://www.imdb.com/title/tt0298203"
2002 "http://www.imdb.com/title/tt0295701"
2002 "http://www.imdb.com/title/tt0298130"
2002 "http://www.imdb.com/title/tt0295178"
2002 "http://www.imdb.com/title/tt0258000"
2002 "http://www.imdb.com/title/tt0120804"
2002 "http://www.imdb.com/title/tt0274812"
2002 "http://www.imdb.com/title/tt0258463"
2002 "http://www.imdb.com/title/tt0289765"
2002 "http://www.imdb.com/title/tt0181689"
2002 "http://www.imdb.com/title/tt0253754"
2002 "http://www.imdb.com/title/tt0278504"
2002 "http://www.imdb.com/title/tt0268380"
2002 "http://www.imdb.com/title/tt0253556"
2002 "http://www.imdb.com/title/tt0238380"
2002 "http://www.imdb.com/title/tt0275847"
2002 "http://www.imdb.com/title/tt0257044"
2002 "http://www.imdb.com/title/tt0299658"
2002 "http://www.imdb.com/title/tt0277296"
2002 "http://www.imdb.com/title/tt0250797"
2002 "http://www.imdb.com/title/tt0276751"
2002 "http://www.imdb.com/title/tt0253867"
2002 "http://www.imdb.com/title/tt0280477"
2002 "http://www.imdb.com/title/tt0286106"
2002 "http://www.imdb.com/title/tt0268695"
2002 "http://www.imdb.com/title/tt0283111"
2002 "http://www.imdb.com/title/tt0187738"
2002 "http://www.imdb.com/title/tt0120679"
2002 "http://www.imdb.com/title/tt0133240"
2002 "http://www.imdb.com/title/tt0277434"
2002 "http://www.imdb.com/title/tt0286499"
2002 "http://www.imdb.com/title/tt0274558"
2002 "http://www.imdb.com/title/tt0313737"
2002 "http://www.imdb.com/title/tt0256415"
2002 "http://www.imdb.com/title/tt0268126"
2002 "http://www.imdb.com/title/tt0259446"
2002 "http://www.imdb.com/title/tt0275022"
2002 "http://www.imdb.com/title/tt0287717"
2002 "http://www.imdb.com/title/tt0238546"
2002 "http://www.imdb.com/title/tt0252076"
2002 "http://www.imdb.com/title/tt0272338"
2002 "http://www.imdb.com/title/tt0120912"
2002 "http://www.imdb.com/title/tt0307901"
2002 "http://www.imdb.com/title/tt0293815"
2002 "http://www.imdb.com/title/tt0251160"
2002 "http://www.imdb.com/title/tt0164184"
2002 "http://www.imdb.com/title/tt0183649"
2002 "http://www.imdb.com/title/tt0168786"
2002 "http://www.imdb.com/title/tt0302640"
2002 "http://www.imdb.com/title/tt0250223"
2002 "http://www.imdb.com/title/tt0209077"
2002 "http://www.imdb.com/title/tt0243736"
2002 "http://www.imdb.com/title/tt0300532"
2002 "http://www.imdb.com/title/tt0270288"
2002 "http://www.imdb.com/title/tt0157472"
2002 "http://www.imdb.com/title/tt0292644"
2002 "http://www.imdb.com/title/tt0267626"
2002 "http://www.imdb.com/title/tt0299977"
2002 "http://www.imdb.com/title/tt0280653"
2002 "http://www.imdb.com/title/tt0166813"
2002 "http://www.imdb.com/title/tt0308506"
2002 "http://www.imdb.com/title/tt0288477"
2002 "http://www.imdb.com/title/tt0303816"
2002 "http://www.imdb.com/title/tt0338564"
2002 "http://www.imdb.com/title/tt0233469"
2002 "http://www.imdb.com/title/tt0309912"
2002 "http://www.imdb.com/title/tt0280590"
2002 "http://www.imdb.com/title/tt0279778"
2002 "http://www.imdb.com/title/tt0278435"
2002 "http://www.imdb.com/title/tt0283084"
2002 "http://www.imdb.com/title/tt0307479"
2002 "http://www.imdb.com/title/tt0264935"
2002 "http://www.imdb.com/title/tt0257360"
2002 "http://www.imdb.com/title/tt0273923"
2002 "http://www.imdb.com/title/tt0265459"
2002 "http://www.imdb.com/title/tt0284837"
2002 "http://www.imdb.com/title/tt0241760"
2002 "http://www.imdb.com/title/tt0271367"
2002 "http://www.imdb.com/title/tt0297884"
2002 "http://www.imdb.com/title/tt0283003"
2002 "http://www.imdb.com/title/tt0279113"
2002 "http://www.imdb.com/title/tt0240468"
2002 "http://www.imdb.com/title/tt0265298"
2002 "http://www.imdb.com/title/tt0245562"
2002 "http://www.imdb.com/title/tt0240510"
2002 "http://www.imdb.com/title/tt0283139"
2002 "http://www.imdb.com/title/tt0347618"
2002 "http://www.imdb.com/title/tt0290095"
2002 "http://www.imdb.com/title/tt0265349"
2002 "http://www.imdb.com/title/tt0258153"
